Year,Month,Day,Hour,Latitude,Longitude
2010,8,5,18,34.25,77.5
2010,8,5,18,34.25,77.25
2010,8,5,20,34.5,76.25
2010,7,18,18,29.5,80.25
2010,7,18,18,30.5,79.25
2010,7,27,20,31.5,78.25
2010,8,14,18,32.5,76.25

2011,7,20,19,32.25,77.0
2011,8,5,16,34.25,77.5
2011,8,13,20,32.25,76.25
2011,8,14,22,33.25,75.25
2011,8,17,9,30.75,78.5
2011,8,18,20,32.0,77.0
2011,9,3,17,29.5,80.25

2012,8,3,18,30.75,78.5
2012,8,3,22,30.25,79.0
2012,8,9,21,30.5,78.5
2012,8,13,20,32.0,77.0
2012,8,17,17,30.5,79.0
2012,9,18,17,30.5,79.25

2013,6,15,16,30.75,79.0
2013,6,15,21,30.75,79.0
2013,6,15,23,30.75,79.0
2013,6,16,17,30.75,78.5
2013,6,16,13,30.5,79.5
2013,6,17,19,30.5,79.25
2013,6,17,21,29.5,80.25
2013,8,21,17,32.0,77.0

2014,8,1,17,32.25,76.25
2014,8,2,20,30.75,78.5
2014,8,15,16,30.0,79.75
2014,9,15,22,29.5,80.25

2015,7,16,6,32.0,77.25
2015,7,31,19,33.25,75.75
2015,7,31,21,32.5,75.25
2015,8,6,16,33.0,75.25
2015,8,8,1,31.75,76.75

2016,6,30,18,29.75,80.25
2016,6,30,20,30.25,79.5
2016,7,2,15,30.0,80.25
2016,8,5,21,32.25,76.25
2016,8,23,21,31.75,77.25

2017,7,3,14,32.75,77.0
2017,7,4,3,31.0,77.5
2017,7,19,20,33.25,75.75
2017,8,13,21,30.0,80.75

2018,6,30,22,30.0,80.25
2018,7,25,10,32.25,77.25
2018,9,23,16,32.5,76.25

2019,6,12,13,30.0,80.75
2019,7,18,17,32.25,76.5
2019,8,7,20,30.25,79.5
2019,8,18,6,31.25,78.0

2020,7,19,19,30.0,80.25
2020,8,25,14,30.25,78.0
2020,8,19,16,32.0,77.25

2021,7,12,3,32.25,76.25
2021,7,19,14,30.75,78.5
2021,7,27,22,33.5,75.75
2021,7,27,22,32.25,76.5
2021,9,20,14,30.0,80.0

2022,7,9,17,32.5,76.25
2022,7,6,1,32.0,77.25
2022,8,19,21,31.5,77.25

2023,7,8,19,31.5,77.75
2023,7,23,17,31.0,79.0
2023,8,13,22,32.0,77.0

2024,7,31,18,31.5,77.5
2024,7,31,14,30.75,79.0
2024,7,31,20,31.75,77.0
2024,8,10,14,32.75,76.5

2025,7,14,16,31.0,78.75
2025,8,4,23,31.75,77.25
2025,8,28,13,30.25,78.25
